partid,sich1d,sich2d,sich3d,sich4r,nati1d,nati2r,nati3d,nati4d,simi1d,simi2d,simi3r,simi4d,trutm1,trutm2,trutm3,trunm1,trunm2,trunm3,atnucl,atther,athydr,atgeot,atwind,trugo1,trugo2,trugo3,truco1,truco2,truco3,expval,expsrc,ttext1,ttext2,ttext3,ehydr1,ehydr2,ehydr3,ehydr4,ehydr5,ehydr6,ehydr7,ehydr8,acnucl,acther,achydr,acgeot,acwind,gender,ethnic,ageyea,edupar,polori,source
162,3,3,1,0,0,-3,-2,-2,3,3,3,0,-3,-3,0,3,3,2,-3,-3,-3,1,3,-3,0,-3,0,-1,-3,1,0,-2,-3,-2,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,2,3,0,4,22,6,2,402
164,3,-1,1,0,0,-3,-3,-1,0,2,0,-2,1,0,0,0,0,-2,-3,0, ,0,2,-3,0,-3,-2,1,-2,0,1,-2,-2,-2,-2,0,-2,-3,-2,-3,-3,-3,-3,0,0,0,2,0,4,22,3,4,402
166,3,-1,-3,-2,1,-2,0,0,-1,2,0,0,-3,-2,0,0,3,-2,-3,0,0,3,3,-3,-3,-3,-3,-3,-3,0,-1,3,0,2,-2,3,0,-3,2,-3,-2,-3,-3,0,1,-3,2,0,2,21,3,3,402
169,3,3,-1,-1,3,-3,2,3,3,3,3,3,3,2,1,0,0,0,-3,2,3,3,3,-1,0,-1,-1,-2,-2,-1,0,-1,-1,1,3,2,1,0,3,-1,0,0,-3,-3,2,2,3,0,6,21,6,4,402
172,-1,-2,-3,3,3,-3,-3,-3,-3,2,-3,-3,0,0,0,0,0,0,-3,-3,-2,-1,-1,-2,-3,-3,-3,-2,-2,1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,3,20,3,4,402
173,1,1,1,-1,1,-3,-2,-3,0,1,-1,-1,1,1,1,1,1,1,-1,-1,1,2,2,-1,-1,-1,-1,1,1,0,1,2,3,2,1,1,1,1,1,1,1,1,1,-1,2,2,2,1,4,21,6,4,402
176,3,0,0,0,3,-3,0,0,0,1,0,0,2,3,2,0,0,2,-3,0,-3,-3,3,0,0,-2,0,0,-2,-1,-1,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,0,6,20,6,4,402
177,0,1,-2,-2,3,-3,-2,-1,1,2,0,1,-2,-2,-2,-2,-2,-2,-3,-3,-3,2,3,-3,-3,-3,1,-3,-3,-1,1,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,0,6,21,3,2,402
178,-1,0,-2,-2,3,-3,-2,-2,0,3,0,2,1,0,0,0,0,1,-3,-3,1,1,1,-2,-2,-2,-2,-2,-1,-1,0,2,2,2,-2,1,-2,-3,2,-3,-3,-3,-3,-3,1,-2,2,1,5,21,3,4,402
179,1,1,-3,-3,-2,-2,-3,-3,1,3,1,3,-3,-3,-3,2,2,1,-3,-3,-3,1,3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-2,-3,-3,-2,-3,-3,-3,-3,-3,-3,1,3,0,1,22,2,3,402
181,2,2,1,2,2,-2,-2,1,-3,-1,-3,-3,2,1,1,-1,-1,1,-1,-3,-2,3,3,2,2,2,2,2,2,1,-1,1,2,2,-2,2,2,-1,2,1,-2,-1,-3,-3,-1,2,3,1,5,20,3,5,402
182,-2,-2,-1,-2,2,-2,-2,0,-1,0,0,1,2,2,-2,-1,-1,0,2,-3,3,2,1,0,0,2,2,3,2,0,1,3,2,3,2,3,3,1,1,2,0,0,2,-3,2,1,2,1,5,19,6,6,402
184,2,2,1,-1,3,-3,0,0,-2,3,0,0,2,2,0,0,0,0,-2,2,1,1,3,0,1,0,0,1,0,0,-1,1,2,-1,-1,1,-1,-3,-2,-3,-3,-2,-3,-1,-1,-1,3,0,1,22,4,4,402
186,2,1,3,-3,3,-3,0,1,3,3,3,1,1,1,-2,-3,-3,0,-3,-3,-3,3,3,-3,0,1,-2,-3,-3,-1,1,3,3,3,-3,1,0,-3,-3,-3,-3,-3,-3,-3,-3,3,3,0,5,19,6,3,402
189,3,1,-1,0,0,-3,-3,-2,2,3,2,0,3,1,1,2,0,2,-3,-3,-3,2,3,-1,0,0,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,2,2,2,0,4,19,5,4,402
190,0,2,-2,-2,2,-3,-3,-1,2,3,2,3,2,2,0,0,3,2,-3,-3,-1,-3,3,-2,-2,-3,-3,-3,-3,1,-1,-3,-3,-3,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,3,0,3,21,3,3,402
191,-3,-3,-3,-3,-3,3,0,0,-3,-3,-3,-3,-3,-3,-3,-3, ,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,0,1,0,1,0,-3, ,2,0,2,0,-3,0,-3,0,0,0,0,0,5,20,4,3,402
192,2,1,2,2,0,-1,0,0,1,2,2,-2,-3,-2,-2,1,1,0,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,0,0,0,0,0,-3,0,-2,-3,0,0,-2,-3,-3,-3,-3,-3,3,1,4,45,2, ,402
194,1,-3,1,2,1,-1,0,1,-2,-1,-2,-1,-1,0,-1,1,0,2,-3,-1,-1,3, ,-1,-1,-2,1,-3,-2,-1,-1,2,2,2,0,2,0,-3,1,-2,-1,-2,-3,-1,-3,2,2,0,4,22,3,5,402
196,2,1,-1,2,3,-1,-3,-2,0,1,-2,-3,-3,-3,-3,1,1,-3,0,-3,1,3,3,-3,-3,-3,-3,-1,-3,-1,0,3,3,3,-3,0,-2,-3,-3,-3,-3,-3,-2,-3,-1,3,3,1,6,27,6,4,402
198,2,3,3,0,1,-2,1,2,-1,1,-2,0,2, ,-2,-1,-1,0,-3,0,1,1,3,2,1, ,0,0,-1,1,-1,1,1,1,2,1,-2,-3,0,-2,-2,-1,-3,-1,-1,0,3,0,4,20,6,5,402
2321,2,1,0,-3,3,-2,3,3,-2,1,-1,1,2,3,0,0,0,1,-3,-1,1,2,3,1,-1,1,2,0,0,-1,0,3,3,3,2,2,1,-3,0,-2,-3,-1,-3,-1,0,2,3, ,6,23,6,4,402
2322,1,-1,0,1,1,-2,-1,-1,0,0,0,-2,2,1,0,0,0,1,-2,-2,-1,0,1,-1,-1,1,-1,0,0,1,1,-2,-2,-1,0,2,2,-3,2,0,2,-2,-2,-2,-1,0,1,0,4,25,4,2,402
